symbol,atomic_number,boil,density,electron_affinity,electronegativity,element,group,heat,ionization_energy_1,ionization_energy_10,ionization_energy_11,ionization_energy_12,ionization_energy_13,ionization_energy_14,ionization_energy_15,ionization_energy_16,ionization_energy_17,ionization_energy_18,ionization_energy_19,ionization_energy_2,ionization_energy_20,ionization_energy_21,ionization_energy_22,ionization_energy_23,ionization_energy_24,ionization_energy_25,ionization_energy_26,ionization_energy_27,ionization_energy_28,ionization_energy_29,ionization_energy_3,ionization_energy_30,ionization_energy_4,ionization_energy_5,ionization_energy_6,ionization_energy_7,ionization_energy_8,ionization_energy_9,melt,name,period,radius_calc,radius_emp,radius_vdw,radius_covalent,radius_covalent_trip
Re,75,5869.0,21.02,0.15,1.9,Rhenium,7.0,0.137,760.0,,,,,,,,,,,1260.0,,,,,,,,,,,2510.0,,3640.0,,,,,,3459.0,rhenium,6.0,188.0,135.0,,159.0,110.0
Os,76,5285.0,22.61,1.0778,2.2,Osmium,8.0,0.13,840.0,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,,,,,3306.0,osmium,6.0,185.0,130.0,,128.0,109.0
Ir,77,4701.0,22.56,1.56436,2.2,Iridium,9.0,0.131,880.0,,,,,,,,,,,1600.0,,,,,,,,,,,,,,,,,,,2719.0,iridium,6.0,180.0,135.0,,137.0,107.0
Pt,78,4098.0,21.46,2.1251,2.28,Platinum,10.0,0.133,870.0,,,,,,,,,,,1791.0,,,,,,,,,,,,,,,,,,,2041.4,platinum,6.0,177.0,135.0,175.0,128.0,110.0
Au,79,3129.0,19.282,2.30861,2.54,Gold,11.0,0.129,890.1,,,,,,,,,,,1980.0,,,,,,,,,,,,,,,,,,,1337.33,gold,6.0,174.0,135.0,166.0,144.0,123.0
Hg,80,629.88,13.5336,,2.0,Mercury,12.0,0.14,1007.1,,,,,,,,,,,1810.0,,,,,,,,,,,3300.0,,,,,,,,234.43,mercury,6.0,171.0,150.0,155.0,149.0,
Tl,81,1746.0,11.85,0.377,1.62,Thallium,13.0,0.129,589.4,,,,,,,,,,,1971.0,,,,,,,,,,,2878.0,,,,,,,,577.0,thallium,6.0,156.0,190.0,196.0,148.0,150.0
Pb,82,2022.0,11.342,0.364,1.87,Lead,14.0,0.129,715.6,,,,,,,,,,,1450.5,,,,,,,,,,,3081.5,,4083.0,6640.0,,,,,600.61,lead,6.0,154.0,180.0,202.0,147.0,137.0
Bi,83,1837.0,9.807,0.942362,2.02,Bismuth,15.0,0.122,703.0,,,,,,,,,,,1610.0,,,,,,,,,,,2466.0,,4370.0,5400.0,8520.0,,,,544.7,bismuth,6.0,143.0,160.0,207.0,146.0,135.0
Po,84,1235.0,9.32,1.32,2.0,Polonium,16.0,,812.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.0,polonium,6.0,135.0,190.0,197.0,,129.0
At,85,610.0,7.0,2.8,2.2,Astatine,17.0,,899.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0,astatine,6.0,,,202.0,,138.0
Rn,86,211.3,0.00973,,2.2,Radon,18.0,0.094,1037.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,radon,6.0,120.0,120.0,220.0,145.0,133.0
Fr,87,950.0,1.87,0.491,0.7,Francium,1.0,,380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,francium,7.0,,,348.0,,
Ra,88,2010.0,5.5,,0.9,Radium,2.0,0.094,509.3,,,,,,,,,,,979.0,,,,,,,,,,,,,,,,,,,973.0,radium,7.0,,215.0,283.0,,159.0
Ac,89,3471.0,10.07,,1.1,Actinium,,0.12,499.0,,,,,,,,,,,1170.0,,,,,,,,,,,,,,,,,,,1323.0,actinium,7.0,,195.0,,,140.0
Th,90,5061.0,11.72,,1.3,Thorium,,0.113,587.0,,,,,,,,,,,1110.0,,,,,,,,,,,1930.0,,2780.0,,,,,,2115.0,thorium,7.0,,180.0,,,136.0
Pa,91,4300.0,15.37,,1.5,Protactinium,,,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841.0,protactinium,7.0,,180.0,,,129.0
U,92,4404.0,18.95,,1.38,Uranium,,0.116,597.6,,,,,,,,,,,1420.0,,,,,,,,,,,,,,,,,,,1405.3,uranium,7.0,,175.0,186.0,,118.0
Np,93,4273.0,20.45,,1.36,Neptunium,,,604.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.0,neptunium,7.0,,175.0,,,116.0
Pu,94,3501.0,19.84,,1.28,Plutonium,,,584.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.5,plutonium,7.0,,175.0,,,
